versuch_id	sample_id	plant_id	accession	plant_name	glucose	fructose	sucrose	raffinose	amino_acids	malate	fumarate	fumarate_withNAs	proline	LT50NAC	LT50ACC	bbch_id	antho_value	anthoscore	number1	date1	aliquot_id	date2	number2
105	81511	642774	Jm-0	[At.Jm-0.n].2-1	9.365199234	7.229689655	12.03663218	1.760536398	3.4185	11.88630842	-1.665379498	NA	0.038312014	-5.489	-8.448	51	sehr hoch	5	36	01. Apr 09	642774	22. Jan 09	27
105	81512	642775	Jm-0	[At.Jm-0.n].2-2	10.57850984	8.573590551	12.64659449	1.796311024	7.7748	14.07682133	2.540074343	2.540074343	0.306159764	-5.489	-8.448	51	hoch	4	27	01. Apr 09	642775	22. Jan 09	22
105	81513	642642	Kl-0	[At.Kl-0.n].52-1	11.82448674	12.33797348	9.131202652	1.892306818	9.0961	13.09551549	-1.026710164	-1.026710164	0.078536441	NA	NA	51	mittel	3	5	01. Apr 09	642642	22. Jan 09	8
105	81514	642643	Kl-0	[At.Kl-0.n].52-2	6.761037037	6.826525926	9.103290741	1.479787037	6.9155	9.737556958	0.935217504	0.935217504	0.051026115	NA	NA	19	gering	2	23	01. Apr 09	642643	22. Jan 09	17
105	81515	642845	Kn-0	[At.Kn-0.n].2.1-1	7.007284526	6.538392679	8.191920133	1.444239601	9.0127	9.339717715	1.493656587	1.493656587	0.058195728	-6.567	-11.56	53	mittel	3	15	01. Apr 09	642845	22. Jan 09	13
105	81516	642846	Kn-0	[At.Kn-0.n].2.1-2	13.20468937	15.2570598	8.515523256	1.715250831	6.4428	-0.89410168	1.056324758	1.056324758	0.057041787	-6.567	-11.56	53	gering	2	15	01. Apr 09	642846	22. Jan 09	10
105	81517	642776	Kondara	[At.Kondara.x].2-1	13.89914862	14.90742202	10.93014495	2.036456881	9.2293	13.98937864	2.968042013	2.968042013	0.030100197	-5.514	-9.133	19	mittel	3	19	01. Apr 09	642776	22. Jan 09	18
105	81518	642777	Kondara	[At.Kondara.x].2-2	3.812245681	4.204930902	5.398493282	0.936573896	5.0165	9.411499361	0.843709071	0.843709071	0.042902476	-5.514	-9.133	19	gering	2	35	01. Apr 09	642777	22. Jan 09	37
105	81519	642843	La-er	[At.La_er.n].37.1-1	14.12655744	13.09803955	14.43146893	1.828730697	5.0619	13.91265216	2.06030638	2.06030638	0.038059322	-6.026	-8.937	51	hoch	4	6	01. Apr 09	642843	22. Jan 09	0
105	81520	642844	La-er	[At.La_er.n].37.1-2	9.72740868	10.55370163	11.68874141	2.490985533	5.3648	11.87567675	1.293788193	1.293788193	0.068110247	-6.026	-8.937	51	sehr hoch	5	20	01. Apr 09	642844	22. Jan 09	16
105	81521	642811	Lip-0	[At.Lip-0. n].2-1	13.27006336	12.77694863	8.949636986	0.959804795	5.6466	11.53805117	0.818059867	0.818059867	0.036152487	-4.973	-7.581	51	hoch	4	32	01. Apr 09	642811	22. Jan 09	33
105	81522	642812	Lip-0	[At.Lip-0. n].2-2	15.91026748	14.63279545	11.3961993	1.274463287	4.3549	12.47754905	0.350366089	0.350366089	0.023551764	-4.973	-7.581	50	mittel	3	38	01. Apr 09	642812	22. Jan 09	34
105	81523	642867	Lu	[At.Lu.n].2.1-1	10.25824	10.27996381	7.864910476	1.387460952	8.6957	10.88073527	0.230800191	0.230800191	0.038171271	NA	NA	51	hoch	4	25	01. Apr 09	642867	22. Jan 09	26
105	81524	642868	Lu	[At.Lu.n].2.1-2	8.532040925	9.543606762	5.380316726	0.92530605	6.3123	14.93052926	0.427097962	0.427097962	0.020883978	NA	NA	51	mittel	3	35	01. Apr 09	642868	22. Jan 09	30
105	81525	642778	Mh-1	[At.Mh-1.n].2-1	19.67675122	15.82652846	14.08337561	2.394169106	6.4139	12.16114365	0.776824329	0.776824329	0.066207232	-4.921	-8.412	52	mittel	3	33	01. Apr 09	642778	22. Jan 09	35
105	81526	642779	Mh-1	[At.Mh-1.n].2-2	8.677768293	7.406066202	6.046057491	1.007639373	4.9221	4.391806022	0.487192867	0.487192867	0.060405839	-4.921	-8.412	53	mittel	3	31	01. Apr 09	642779	22. Jan 09	22
